City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
106,Husavik,IS,2022-11-26 23:51:00,66.0449,-17.3389,39.9,97,100,7.02
107,Sofia,BG,2022-11-26 23:47:20,42.6975,23.3242,32.72,89,99,3.44
108,Hithadhoo,MV,2022-11-26 23:51:00,-0.6,73.0833,81.16,76,98,11.07
109,La Ronge,CA,2022-11-26 23:51:01,55.1001,-105.2842,21.45,68,20,1.14
110,Arraial Do Cabo,BR,2022-11-26 23:51:01,-22.9661,-42.0278,71.56,88,100,12.66
111,Half Moon Bay,US,2022-11-26 23:51:01,37.4636,-122.4286,67.23,56,0,11.5
112,Wageningen,NL,2022-11-26 23:51:02,51.9667,5.6667,45.1,90,100,10.36
113,Okhotsk,RU,2022-11-26 23:51:02,59.3833,143.3,-4.7,86,68,21.12
114,Soubre,CI,2022-11-26 23:51:02,5.7856,-6.6083,72.27,98,15,2.37
115,Shimoda,JP,2022-11-26 23:51:03,34.6667,138.95,61.16,68,1,13.22
116,Kisesa,TZ,2022-11-26 23:51:03,-3.0833,34.15,65.62,58,100,5.32
117,Shieli,KZ,2022-11-26 23:51:03,44.1667,66.75,29.7,51,16,19.26
118,Chokurdakh,RU,2022-11-26 23:51:04,70.6333,147.9167,-31.5,99,100,5.68
119,Coos Bay,US,2022-11-26 23:51:04,43.3665,-124.2179,51.78,66,0,10.36
120,Felanitx,ES,2022-11-26 23:51:04,39.4696,3.1483,49.14,66,69,3.6
121,Tommot,RU,2022-11-26 23:51:05,58.9564,126.2925,-46.8,100,90,0.98
122,Clyde River,CA,2022-11-26 23:51:05,70.4692,-68.5914,-7.37,84,100,5.75
123,Jumla,NP,2022-11-26 23:51:05,29.2747,82.1838,42.87,39,38,4.88
124,Bosaso,SO,2022-11-26 23:51:06,11.2842,49.1816,75.65,82,9,2.77
125,East London,ZA,2022-11-26 23:51:06,-33.0153,27.9116,62.78,92,100,2.73
126,San Felipe,VE,2022-11-26 23:51:06,10.3399,-68.7425,71.74,99,76,2.89
127,Cape Town,ZA,2022-11-26 23:51:07,-33.9258,18.4232,62.28,67,0,24.16
128,Itamarandiba,BR,2022-11-26 23:51:07,-17.8572,-42.8589,63.84,98,42,1.07
129,Carnarvon,AU,2022-11-26 23:51:07,-24.8667,113.6333,70.99,64,0,21.5
130,Bredasdorp,ZA,2022-11-26 23:51:08,-34.5322,20.0403,56.37,78,16,4.52
131,Avarua,CK,2022-11-26 23:51:08,-21.2078,-159.775,80.65,57,75,19.57
132,Manggar,ID,2022-11-26 23:51:08,-2.8833,108.2667,79.41,81,100,2.77
133,Waingapu,ID,2022-11-26 23:51:09,-9.6567,120.2641,77.88,83,100,1.68
134,Geraldton,AU,2022-11-26 23:51:09,-28.7667,114.6,66.61,63,3,13.8
135,Bonavista,CA,2022-11-26 23:51:09,48.6499,-53.1147,37.72,86,100,26.42
136,Hermanus,ZA,2022-11-26 23:51:10,-34.4187,19.2345,52.81,78,3,11.9
137,Sibolga,ID,2022-11-26 23:51:10,1.7427,98.7792,75.92,82,60,2.46
138,San Andres,CO,2022-11-26 23:51:10,12.5847,-81.7006,80.62,83,75,4.61
139,Saskylakh,RU,2022-11-26 23:52:11,71.9167,114.0833,-6.43,95,100,11.63
140,Egvekinot,RU,2022-11-26 23:52:11,66.3167,-179.1667,-6.93,96,97,4.25
141,Coihaique,CL,2022-11-26 23:48:04,-45.5752,-72.0662,67.95,28,0,2.3
142,Agara,GE,2022-11-26 23:52:12,42.0376,43.8238,45.41,91,100,13.65
143,Port Elizabeth,ZA,2022-11-26 23:52:12,-33.918,25.5701,63.32,86,75,6.91
144,Poum,NC,2022-11-26 23:52:12,-20.2333,164.0167,78.55,66,13,6.71
145,Baykit,RU,2022-11-26 23:52:13,61.67,96.37,-33.36,100,63,1.32
146,Lata,PT,2022-11-26 23:52:13,40.1629,-8.3327,43.92,65,100,3.36
147,Westport,US,2022-11-26 23:52:14,41.1415,-73.3579,53.42,54,0,5.01
148,Khorramshahr,IR,2022-11-26 23:52:14,30.4397,48.1664,69.76,73,20,4.61
149,San Cristobal,VE,2022-11-26 23:52:14,7.7669,-72.225,73.58,97,99,1.66
150,Klamath Falls,US,2022-11-26 23:51:32,42.2249,-121.7817,46.87,54,0,0.0
151,Phan Thiet,VN,2022-11-26 23:50:38,10.9333,108.1,77.79,86,93,5.59
152,Beringovskiy,RU,2022-11-26 23:52:15,63.05,179.3167,5.02,99,94,6.24
153,Kruisfontein,ZA,2022-11-26 23:52:15,-34.0033,24.7314,55.89,90,1,5.32
154,Ozernovskiy,RU,2022-11-26 23:52:16,51.5,156.5167,36.91,91,100,16.84
155,Pyapon,MM,2022-11-26 23:52:16,16.2833,95.6833,74.41,93,53,4.45
156,Reconquista,AR,2022-11-26 23:52:16,-29.15,-59.65,81.1,26,56,10.45
157,Erdenet,MN,2022-11-26 23:52:17,49.0333,104.0833,-2.25,95,100,8.5
158,Quatre Cocos,MU,2022-11-26 23:52:17,-20.2078,57.7625,75.31,75,21,10.65
159,Upernavik,GL,2022-11-26 23:52:17,72.7868,-56.1549,10.85,90,100,11.27
160,Ahipara,NZ,2022-11-26 23:52:18,-35.1667,173.1667,63.5,86,100,9.17
161,Pangnirtung,CA,2022-11-26 23:52:18,66.1451,-65.7125,1.33,77,100,3.8
162,Bilibino,RU,2022-11-26 23:52:18,68.0546,166.4372,-28.48,100,39,2.89
163,Burnie,AU,2022-11-26 23:52:19,-41.0667,145.9167,58.95,73,81,12.17
164,Farafangana,MG,2022-11-26 23:52:19,-22.8167,47.8333,71.17,87,9,5.84
165,Yekaterinovka,RU,2022-11-26 23:52:19,52.0508,44.3451,29.05,91,100,11.56
166,Gualeguay,AR,2022-11-26 23:52:20,-33.1416,-59.3097,82.83,31,2,15.01
167,Manokwari,ID,2022-11-26 23:52:20,-0.8667,134.0833,82.18,69,99,1.16
168,Acari,PE,2022-11-26 23:52:20,-15.4311,-74.6158,71.13,78,23,4.61
