City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
216,Sakakah,SA,29.9697,40.2064,63.97,51,99,13.42,overcast clouds
217,Bonthe,SL,7.5264,-12.505,79.52,79,100,7.27,overcast clouds
218,Kavaratti,IN,10.5669,72.642,81.01,70,13,5.44,few clouds
219,Acapulco,MX,16.8634,-99.8901,84.58,63,36,8.48,scattered clouds
220,Mount Gambier,AU,-37.8333,140.7667,50.13,84,96,5.99,overcast clouds
221,Cidreira,BR,-30.1811,-50.2056,72.57,79,95,15.03,overcast clouds
222,Bindura,ZW,-17.3019,31.3306,70.36,64,100,3.18,overcast clouds
223,Kiruna,SE,67.8557,20.2251,27.52,86,100,20.71,overcast clouds
224,Tuatapere,NZ,-46.1333,167.6833,49.44,76,100,3.27,overcast clouds
225,Kaoma,ZM,-14.7833,24.8,62.28,96,100,1.48,overcast clouds
226,Agirish,RU,61.9247,63.0231,-5.49,97,28,3.71,scattered clouds
227,Bam,IR,29.106,58.357,61.79,23,0,2.84,clear sky
228,Esperance,AU,-33.8667,121.9,58.01,64,98,8.7,overcast clouds
229,Genhe,CN,50.7833,121.5167,-14.62,100,98,3.27,overcast clouds
230,Roma,US,43.2128,-75.4557,45.73,90,100,8.05,moderate rain
231,Wodonga,AU,-36.1167,146.8833,51.96,100,1,2.35,clear sky
232,Indianola,US,41.3581,-93.5574,44.56,42,100,15.08,overcast clouds
233,Lethem,GY,3.3803,-59.7968,82.63,72,100,4.76,overcast clouds
234,Howick,ZA,-29.4779,30.2306,56.68,99,100,3.29,moderate rain
235,Verkhnyaya Inta,RU,65.9811,60.3094,1.53,95,98,10.87,overcast clouds
236,Khani,GE,41.9563,42.9566,42.37,95,99,1.01,overcast clouds
237,Alta,NO,69.9689,23.2717,33.06,69,0,10.36,clear sky
238,La Asuncion,VE,11.0333,-63.8628,71.33,100,100,14.97,light rain
239,Hami,CN,42.8,93.45,8.38,37,0,13.33,clear sky
240,The Valley,AI,18.217,-63.0578,84.34,70,40,13.8,scattered clouds
241,Havelock,US,34.8791,-76.9013,75.18,90,100,16.11,overcast clouds
242,Bengkulu,ID,-3.8004,102.2655,75.63,88,100,3.22,overcast clouds
243,Hoa Binh,VN,20.8133,105.3383,74.16,97,25,2.73,scattered clouds
244,Tateyama,JP,34.9833,139.8667,60.71,66,100,4.59,overcast clouds
245,Faanui,PF,-16.4833,-151.75,79.0,75,18,13.85,few clouds
246,Coihaique,CL,-45.5752,-72.0662,81.21,29,0,8.05,clear sky
247,Todos Santos,MX,23.45,-110.2167,85.05,37,0,8.81,clear sky
248,Naron,ES,43.5167,-8.1528,57.6,76,58,14.18,broken clouds
249,Porto Novo,BJ,6.4965,2.6036,84.02,78,5,8.43,clear sky
250,Cuamba,MZ,-14.8031,36.5372,80.69,33,94,3.62,overcast clouds
251,Tabas,IR,33.5959,56.9244,62.6,25,0,2.04,clear sky
252,Kotovo,RU,50.3211,44.8012,29.52,66,100,10.98,overcast clouds
253,Morlaix,FR,48.5833,-4.0,50.07,92,20,10.36,few clouds
254,Calama,CL,-22.4667,-68.9333,77.49,12,0,28.77,clear sky
